Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784654177,100,,Aggregated,63.000000,0.000000,290,400,440,500,650,920,1300,1400,1600,1600,1600,981,0,290,363.8999345075625,3.418041000259109,1554.7436339984415,302.9245667686035
1784654178,100,GET,/health,9.200000,0.000000,16,89,150,250,520,970,1200,1200,1200,1200,1200,158,0,41,180.56248465175867,3.0118549984763376,1192.0429330057232,172.3227848101266
1784654178,100,POST,/predict,49.700000,0.000000,320,410,480,530,650,920,1300,1500,1600,1600,1600,816,0,300,393.54722199013673,68.60802300070645,1554.7436339984415,298.9497549019608
1784654178,100,GET,/visualizations,4.000000,0.000000,21,170,240,340,470,910,1200,1200,1200,1200,1200,73,0,64,202.8828291776622,3.4956709932885133,1170.8420619979734,636.0
1784654178,100,,Aggregated,62.900000,0.000000,260,380,430,500,650,920,1300,1400,1600,1600,1600,1047,0,270,348.1125618423102,3.0118549984763376,1554.7436339984415,303.3409742120344
1784654179,100,GET,/health,9.500000,0.000000,16,110,190,240,440,800,1100,1200,1200,1200,1200,167,0,46,178.28140641899165,3.0118549984763376,1192.0429330057232,172.33532934131736
1784654179,100,POST,/predict,49.600000,0.000000,310,410,490,530,660,950,1300,1500,1600,1600,1600,870,0,310,389.9217914643392,68.60802300070645,1554.7436339984415,298.91954022988506
1784654179,100,GET,/visualizations,4.500000,0.000000,13,170,240,340,470,910,1200,1200,1200,1200,1200,76,0,64,200.3860032759564,3.4956709932885133,1170.8420619979734,636.0
1784654179,100,,Aggregated,63.600000,0.000000,260,360,430,510,650,920,1300,1400,1600,1600,1600,1113,0,270,345.2239799594963,3.0118549984763376,1554.7436339984415,302.9433962264151
1784654180,100,GET,/health,9.800000,0.000000,16,99,150,230,440,800,1100,1200,1200,1200,1200,179,0,46,170.04220041888797,3.0118549984763376,1192.0429330057232,172.34078212290504
1784654180,100,POST,/predict,49.600000,0.000000,290,390,460,520,660,950,1300,1500,1600,1600,1600,924,0,300,384.0731593257248,68.60802300070645,1554.7436339984415,298.9794372294372
